# Offsets metriques par circuit - voir circuits_index.csv
track_id,i,x_m,y_m
mont-tremblant,0,0.0,0.0
mont-tremblant,1,-9.9,-22.0
mont-tremblant,2,-12.5,-35.3
mont-tremblant,3,-12.7,-47.7
mont-tremblant,4,-6.3,-118.2
mont-tremblant,5,12.0,-283.3
mont-tremblant,6,28.3,-457.1
mont-tremblant,7,30.4,-510.5
mont-tremblant,8,25.8,-568.4
mont-tremblant,9,-7.9,-795.3
mont-tremblant,10,-10.7,-827.5
mont-tremblant,11,-6.9,-847.4
mont-tremblant,12,-0.6,-862.9
mont-tremblant,13,5.3,-873.7
mont-tremblant,14,18.8,-889.6
mont-tremblant,15,31.5,-899.0
mont-tremblant,16,50.5,-907.9
mont-tremblant,17,64.0,-910.9
mont-tremblant,18,77.1,-910.8
mont-tremblant,19,89.2,-907.8
mont-tremblant,20,100.6,-901.5
mont-tremblant,21,107.2,-895.6
mont-tremblant,22,115.1,-884.5
mont-tremblant,23,176.9,-683.6
mont-tremblant,24,194.1,-635.3
mont-tremblant,25,210.6,-602.1
mont-tremblant,26,229.0,-571.9
mont-tremblant,27,238.8,-557.4
mont-tremblant,28,289.7,-493.4
mont-tremblant,29,296.1,-482.6
mont-tremblant,30,304.7,-459.3
mont-tremblant,31,308.6,-435.8
mont-tremblant,32,307.9,-416.2
mont-tremblant,33,304.6,-399.5
mont-tremblant,34,297.7,-380.8
mont-tremblant,35,290.7,-367.3
mont-tremblant,36,279.0,-350.5
mont-tremblant,37,166.7,-206.4
mont-tremblant,38,153.5,-187.7
mont-tremblant,39,141.2,-166.5
mont-tremblant,40,130.9,-137.4
mont-tremblant,41,126.5,-111.2
mont-tremblant,42,126.3,-80.6
mont-tremblant,43,130.5,-55.6
mont-tremblant,44,137.9,-34.5
mont-tremblant,45,148.1,-13.8
mont-tremblant,46,250.4,134.1
mont-tremblant,47,257.2,138.9
mont-tremblant,48,265.8,141.7
mont-tremblant,49,275.4,142.1
mont-tremblant,50,281.1,140.7
mont-tremblant,51,291.3,135.1
mont-tremblant,52,323.1,112.4
mont-tremblant,53,336.4,107.4
mont-tremblant,54,353.6,108.3
mont-tremblant,55,376.8,114.3
mont-tremblant,56,390.0,123.4
mont-tremblant,57,399.9,138.3
mont-tremblant,58,425.5,220.8
mont-tremblant,59,426.7,241.4
mont-tremblant,60,423.8,264.1
mont-tremblant,61,385.7,357.3
mont-tremblant,62,357.8,405.9
mont-tremblant,63,346.1,422.8
mont-tremblant,64,336.8,434.5
mont-tremblant,65,314.7,453.2
mont-tremblant,66,281.2,471.6
mont-tremblant,67,250.6,480.9
mont-tremblant,68,231.7,483.2
mont-tremblant,69,202.2,484.1
mont-tremblant,70,165.1,481.7
mont-tremblant,71,139.5,475.2
mont-tremblant,72,118.3,465.7
mont-tremblant,73,-116.6,329.6
mont-tremblant,74,-127.8,324.6
mont-tremblant,75,-140.5,322.8
mont-tremblant,76,-153.6,324.0
mont-tremblant,77,-241.2,352.1
mont-tremblant,78,-255.1,355.0
mont-tremblant,79,-269.1,354.4
mont-tremblant,80,-285.6,350.1
mont-tremblant,81,-296.8,344.1
mont-tremblant,82,-307.2,335.2
mont-tremblant,83,-310.7,328.0
mont-tremblant,84,-310.9,321.8
mont-tremblant,85,-305.9,312.5
mont-tremblant,86,-240.1,271.1
mont-tremblant,87,-217.2,259.4
mont-tremblant,88,-171.1,240.0
mont-tremblant,89,-148.0,232.3
mont-tremblant,90,-124.4,227.3
mont-tremblant,91,-72.2,223.0
mont-tremblant,92,-34.0,223.8
mont-tremblant,93,-15.4,228.2
mont-tremblant,94,5.2,236.2
mont-tremblant,95,66.4,276.1
mont-tremblant,96,84.1,283.8
mont-tremblant,97,96.5,286.1
mont-tremblant,98,107.9,285.3
mont-tremblant,99,119.7,280.9
mont-tremblant,100,129.6,273.7
mont-tremblant,101,136.6,260.9
mont-tremblant,102,153.8,171.0
mont-tremblant,103,154.1,120.2
mont-tremblant,104,148.7,100.6
mont-tremblant,105,141.2,88.5
mont-tremblant,106,131.9,80.4
mont-tremblant,107,30.0,30.0
mont-tremblant,108,13.8,17.1
mont-tremblant,109,0.0,0.0
gilles-villeneuve,0,0.0,0.0
gilles-villeneuve,1,10.6,-51.8
gilles-villeneuve,2,10.7,-64.0
gilles-villeneuve,3,7.4,-70.0
gilles-villeneuve,4,-5.6,-77.0
gilles-villeneuve,5,-12.7,-84.4
gilles-villeneuve,6,-14.7,-88.4
gilles-villeneuve,7,-14.8,-97.5
gilles-villeneuve,8,69.9,-497.9
gilles-villeneuve,9,76.4,-531.1
gilles-villeneuve,10,79.8,-562.6
gilles-villeneuve,11,79.8,-619.6
gilles-villeneuve,12,65.8,-731.6
gilles-villeneuve,13,66.2,-745.3
gilles-villeneuve,14,72.4,-756.2
gilles-villeneuve,15,78.5,-760.5
gilles-villeneuve,16,116.5,-778.4
gilles-villeneuve,17,123.5,-785.1
gilles-villeneuve,18,127.5,-795.4
gilles-villeneuve,19,126.6,-808.6
gilles-villeneuve,20,119.7,-820.7
gilles-villeneuve,21,110.4,-828.2
gilles-villeneuve,22,95.3,-833.1
gilles-villeneuve,23,76.9,-832.2
gilles-villeneuve,24,54.8,-827.3
gilles-villeneuve,25,-10.6,-807.1
gilles-villeneuve,26,-39.9,-793.4
gilles-villeneuve,27,-54.2,-785.1
gilles-villeneuve,28,-87.1,-760.3
gilles-villeneuve,29,-140.8,-715.3
gilles-villeneuve,30,-186.2,-673.2
gilles-villeneuve,31,-191.1,-665.2
gilles-villeneuve,32,-191.9,-659.7
gilles-villeneuve,33,-189.8,-647.4
gilles-villeneuve,34,-181.7,-620.3
gilles-villeneuve,35,-181.6,-609.2
gilles-villeneuve,36,-184.6,-600.3
gilles-villeneuve,37,-269.5,-494.0
gilles-villeneuve,38,-306.1,-468.8
gilles-villeneuve,39,-321.0,-455.1
gilles-villeneuve,40,-331.8,-439.2
gilles-villeneuve,41,-341.1,-420.1
gilles-villeneuve,42,-347.6,-397.9
gilles-villeneuve,43,-350.6,-374.7
gilles-villeneuve,44,-348.9,-232.0
gilles-villeneuve,45,-350.0,-217.9
gilles-villeneuve,46,-353.7,-209.2
gilles-villeneuve,47,-360.0,-201.6
gilles-villeneuve,48,-372.1,-196.5
gilles-villeneuve,49,-388.0,-196.5
gilles-villeneuve,50,-401.9,-201.1
gilles-villeneuve,51,-412.9,-202.6
gilles-villeneuve,52,-426.2,-200.2
gilles-villeneuve,53,-438.8,-193.7
gilles-villeneuve,54,-450.5,-183.9
gilles-villeneuve,55,-463.6,-167.0
gilles-villeneuve,56,-474.1,-141.9
gilles-villeneuve,57,-479.9,-117.8
gilles-villeneuve,58,-483.9,-93.4
gilles-villeneuve,59,-488.4,-47.7
gilles-villeneuve,60,-494.6,61.0
gilles-villeneuve,61,-495.5,106.1
gilles-villeneuve,62,-491.1,189.5
gilles-villeneuve,63,-482.4,258.5
gilles-villeneuve,64,-476.1,292.5
gilles-villeneuve,65,-434.5,445.1
gilles-villeneuve,66,-430.2,456.7
gilles-villeneuve,67,-424.0,461.0
gilles-villeneuve,68,-394.7,463.1
gilles-villeneuve,69,-381.5,469.2
gilles-villeneuve,70,-369.8,479.5
gilles-villeneuve,71,-356.8,500.1
gilles-villeneuve,72,-340.7,548.8
gilles-villeneuve,73,-319.8,627.8
gilles-villeneuve,74,-308.4,683.0
gilles-villeneuve,75,-295.1,758.9
gilles-villeneuve,76,-289.4,810.0
gilles-villeneuve,77,-287.6,852.1
gilles-villeneuve,78,-288.0,895.8
gilles-villeneuve,79,-292.2,928.6
gilles-villeneuve,80,-320.0,1061.0
gilles-villeneuve,81,-319.6,1067.0
gilles-villeneuve,82,-315.3,1076.3
gilles-villeneuve,83,-306.6,1080.9
gilles-villeneuve,84,-301.7,1081.3
gilles-villeneuve,85,-293.8,1079.1
gilles-villeneuve,86,-287.7,1073.6
gilles-villeneuve,87,-283.6,1065.3
gilles-villeneuve,88,-277.4,1035.5
gilles-villeneuve,89,-273.6,981.9
gilles-villeneuve,90,-267.9,960.7
gilles-villeneuve,91,-222.7,863.1
gilles-villeneuve,92,-161.0,703.7
gilles-villeneuve,93,-129.3,615.5
gilles-villeneuve,94,-100.7,474.6
gilles-villeneuve,95,0.0,0.0
sanair-routier,0,0.0,0.0
sanair-routier,1,49.1,-38.9
